Technology,Country,Global warming
biomass,EE,230
coal,EE,1515
coal_chp,EE,1515
gas,EE,490
hydro_runof,EE,24
other_biogas,EE,700
solar,EE,45
waste,EE,700
windon,EE,11
biomass,FI,230
coal,FI,820
coal_chp,FI,820
gas,FI,490
gas_chp,FI,490
hydro_runof,FI,24
nuclear_BWR,FI,12
nuclear_PWR,FI,12
oil,FI,650
oil_chp,FI,650
other_biogas,FI,700
waste,FI,700
solar,FI,45
windon,FI,11
gas,NO,490
hydro_reservoir,NO,24
hydro_runof,NO,24
hydro_pumped,NO,24
other_biogas,NO,700
waste,NO,700
windon,NO,11
hydro_runof,RU,24
nuclear_PWR,RU,12
oil,RU,650
solar,RU,45
TES,RU,524
blast_furnace,SE,820
hard_coal,SE,820
hydro_runof,SE,24
nuclear_BWR,SE,12
nuclear_PWR,SE,12
other_biogas,SE,700
other_waste,SE,700
windon,SE,11
gas,RU,490
coal_chp,RU,820
gas_chp,RU,490
oil_chp,RU,650
oil_chp,EE,650
biomass,NO,230
oil_chp,SE,650
gas_chp,SE,490
unknown,SE,306
peat,FI,700
peat,SE,700
peat,EE,700
